title,author,rating,genres,pages,ratings_count
Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré, J.K. Rowling",4.5,"Fantasy, Young Adult, Fiction, Magic, Audiobook, Childrens, Adventure, Middle Grade, Classics, Science Fiction Fantasy",912,3648248
Pride and Prejudice,"Jane Austen, Anna Quindlen, Jane Austen, Natalie Jenner",4.29,"Classics, Romance, Fiction, Historical Fiction, Historical, Literature, Audiobook, Novels, Historical Romance, Classic Literature",279,4560030
To Kill a Mockingbird,"Harper Lee, Harper Lee",4.26,"Historical Fiction, School, Literature, Young Adult, Historical, Read For School, Novels, Book Club, High School, Coming Of Age",323,6606121
The Book Thief,"Markus Zusak, Markus Zusak",4.39,"Historical Fiction, Fiction, Young Adult, Classics, Historical, Book Club, War, World War II, Holocaust, Audiobook",592,2769466
Twilight,"Stephenie Meyer, Stephenie Meyer",3.67,"Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance, Supernatural, Urban Fantasy, Teen",498,7052742
Animal Farm,"George Orwell, Russell Baker, C.M. Woodhouse, George Orwell",4.0,"Classics, Fiction, Dystopia, Fantasy, School, Politics, Literature, Science Fiction, Novels, Audiobook",141,4279341
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,"J.R.R. Tolkien, J.R.R. Tolkien",4.61,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy, Literature, Young Adult, Magic",1728,140414
The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes, C.S. Lewis",4.28,"Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade, Christian Fiction, Science Fiction Fantasy, Magic",767,690216
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides, Oscar Wilde",4.13,"Classics, Fiction, Horror, Gothic, Fantasy, Literature, Dark Academia, Novels, Audiobook, LGBT",272,1746222
The Giving Tree,"Shel Silverstein, Shel Silverstein",4.38,"Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy, Juvenile, Short Stories, Kids",64,1198578
Wuthering Heights,"Emily Brontë, Richard J. Dunn, Charlotte Brontë, Emily Brontë",3.9,"Fiction, Gothic, Historical Fiction, Literature, Historical, Novels, 19th Century, Classic Literature, Audiobook, School",464,1936156
The Lightning Thief,"Rick Riordan, Rick Riordan",4.31,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology, Childrens, Audiobook, Urban Fantasy",377,3293552
Gone with the Wind,"Margaret Mitchell, Margaret Mitchell",4.31,"Classics, Historical Fiction, Fiction, Romance, Historical, Literature, War, Civil War, Historical Romance, Novels",1037,1252428
The Perks of Being a Wallflower,"Stephen Chbosky, Stephen Chbosky",4.23,"Young Adult, Fiction, Classics, Coming Of Age, Romance, Mental Health, Realistic Fiction, LGBT, Book Club, Teen",213,1924938
The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Antoine de Saint-Exupéry",4.33,"Classics, Fiction, Fantasy, Childrens, France, Philosophy, Young Adult, Literature, Middle Grade, French Literature",96,2332648
Jane Eyre,"Charlotte Brontë, Michael Mason, Charlotte Brontë",4.15,"Classics, Fiction, Romance, Gothic, Historical Fiction, Literature, Historical, Audiobook, School, Classic Literature",532,2234338
The Great Gatsby,"F. Scott Fitzgerald, F. Scott Fitzgerald",3.93,"Classics, Fiction, School, Historical Fiction, Romance, Literature, Novels, Read For School, High School, Book Club",180,5654177
Crime and Punishment,"Fyodor Dostoevsky, David McDuff, Joseph Frank, Fyodor Dostoevsky",4.28,"Fiction, Russia, Russian Literature, Literature, Philosophy, Novels, Crime, 19th Century, Classic Literature, School",671,1004849
The da Vinci Code,"Dan Brown, Dan Brown",3.93,"Fiction, Mystery, Thriller, Mystery Thriller, Historical Fiction, Suspense, Adventure, Crime, Novels, Adult",489,2457475
Alice’s Adventures in Wonderland / Through the Looking-Glass,"Lewis Carroll, Martin Gardner, John Tenniel, Lewis Carroll",4.06,"Classics, Fantasy, Fiction, Childrens, Young Adult, Literature, Adventure, Middle Grade, Novels, 19th Century",239,592474
Memoirs of a Geisha,"Arthur Golden, Arthur Golden",4.16,"Fiction, Historical Fiction, Romance, Historical, Book Club, Adult, Novels, Asia, Contemporary, Adult Fiction",503,2070300
Les Misérables,"Victor Hugo, Norman MacAfee, Charles E. Wilbour, Victor Hugo",4.21,"Fiction, Historical Fiction, Literature, France, Historical, Novels, French Literature, Romance, Classic Literature, 19th Century",1463,827023
The Alchemist,"Paulo Coelho, Alan R. Clarke, Paulo Coelho",3.92,"Fiction, Fantasy, Philosophy, Self Help, Book Club, Novels, Spirituality, Audiobook, Adventure, Literature",197,3375259
Anne of Green Gables,"L.M. Montgomery, Jennifer Lee Carrell, L.M. Montgomery",4.32,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Audiobook, Historical, Canada, Coming Of Age",320,1065122
Lord of the Flies,"William Golding, William Golding",3.7,"Fiction, Classics, Young Adult, School, Dystopia, Literature, Read For School, Novels, High School, Adventure",182,3086396
Romeo and Juliet,"William Shakespeare, William Shakespeare",3.74,"Classics, Plays, Fiction, School, Read For School, Literature, High School, Poetry, Tragedy, Classic Literature",281,2741776
The Hitchhiker’s Guide to the Galaxy,"Douglas Adams, Douglas Adams",4.22,"Science Fiction, Fiction, Humor, Fantasy, Comedy, Audiobook, Science Fiction Fantasy, Adventure, Novels, Book Club",216,1951286
City of Bones,"Cassandra Clare, Cassandra Clare",4.07,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Fiction, Vampires, Supernatural, Young Adult Fantasy, Magic",485,2111307
Dracula,"Bram Stoker, Rubén Toledo, Nina Auerbach, Bram Stoker",4.02,"Classics, Horror, Fiction, Fantasy, Gothic, Vampires, Audiobook, Paranormal, Literature, Novels",488,1395653
Charlotte’s Web,"E.B. White, Garth Williams, Rosemary Wells, E.B. White",4.21,"Classics, Fiction, Childrens, Fantasy, Young Adult, Middle Grade, Animals, School, Chapter Books, Juvenile",184,1972239
Brave New World,"Aldous Huxley, Aldous Huxley",3.99,"Fiction, Science Fiction, Dystopia, Literature, Novels, School, Audiobook, Philosophy, Fantasy, Book Club",268,1989043
Ender’s Game,"Orson Scott Card, Orson Scott Card",4.31,"Science Fiction, Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Dystopia, Audiobook, Book Club, War",324,1439304
Of Mice and Men,"John Steinbeck, John Steinbeck",3.89,"Fiction, School, Historical Fiction, Literature, Read For School, Novels, High School, American, Historical, Banned Books",107,2720432
The Catcher in the Rye,"J.D. Salinger, J.D. Salinger",3.8,"Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels, High School, American, Banned Books",277,3761667
One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa, Gabriel García Márquez",4.12,"Fiction, Magical Realism, Fantasy, Literature, Historical Fiction, Novels, Book Club, Spanish Literature, Literary Fiction, Unfinished",417,1055124
A Thousand Splendid Suns,"Khaled Hosseini, Khaled Hosseini",4.45,"Fiction, Historical Fiction, Book Club, Contemporary, Historical, Classics, Novels, War, Literary Fiction, Adult",372,1657872
Little Women,"Louisa May Alcott, Regina Barreca, Grzegorz Komerski, Louisa May Alcott",4.16,"Classics, Fiction, Historical Fiction, Young Adult, Romance, Historical, Literature, Book Club, Audiobook, Childrens",449,2365060
The Outsiders,"S.E. Hinton, S.E. Hinton",4.14,"Classics, Young Adult, Fiction, School, Read For School, Coming Of Age, Realistic Fiction, Historical Fiction, Contemporary, Childrens",208,1508180
The Princess Bride,"William Goldman, William Goldman",4.27,"Fantasy, Fiction, Romance, Humor, Adventure, Young Adult, Classics, Book Club, Comedy, Science Fiction Fantasy",429,929744
The Secret Garden,"Frances Hodgson Burnett, Frances Hodgson Burnett",4.16,"Fiction, Classics, Childrens, Young Adult, Historical Fiction, Middle Grade, Audiobook, Fantasy, Historical, Literature",331,1248074
A Game of Thrones,"George R.R. Martin, George R.R. Martin",4.45,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Adult, Audiobook, Science Fiction Fantasy, Adventure, Dragons, Novels",835,2648662
Harry Potter and the Deathly Hallows,"J.K. Rowling, J.K. Rowling",4.62,"Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure, Middle Grade, Classics, Science Fiction Fantasy, Young Adult Fantasy",759,3969784
The Odyssey,"Homer, Robert Fagles, Bernard Knox, Homer",3.82,"Fiction, Poetry, Mythology, Fantasy, School, Literature, Adventure, Greek Mythology, Read For School, Historical Fiction",541,1144351
The Kite Runner,"Khaled Hosseini, Khaled Hosseini",4.35,"Fiction, Historical Fiction, Classics, Contemporary, Book Club, Novels, Historical, School, Literature, Adult",371,3362336
The Giver,"Lois Lowry, Lois Lowry",4.12,"Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School, Middle Grade, Childrens, Book Club",208,2699852
